model,turn,u,r,rho,p,q,n,sig,scope
Qwen,4,U5,EMP,0.2279835653791735,0.054092372145994605,0.4180682740916511,72,False,per_turn
Qwen,5,U1,SEN,0.41337556605430564,0.00030729819560273617,0.007682454890068404,72,True,per_turn
Qwen,5,U1,AUR,0.05551505846840714,0.6432395764093859,0.9672698716070366,72,False,per_turn
Qwen,5,U1,TD,-0.19838230205405089,0.09481710627846882,0.492094181674298,72,False,per_turn
Qwen,5,U1,FIX,0.18171081408264678,0.12660418297713094,0.4976949017122995,72,False,per_turn
Qwen,5,U1,RT,0.1804051124880535,0.12940067444519787,0.4976949017122995,72,False,per_turn
Qwen,5,U1,TN,0.07182540379755631,0.5487944993554309,0.9347192134653635,72,False,per_turn
Qwen,5,U1,QOC,-0.06638842841565039,0.5795259123485254,0.9347192134653635,72,False,per_turn
Qwen,5,U1,LM,0.04047632385914778,0.7356793708931151,0.9788397777960827,72,False,per_turn
Qwen,5,U1,ME,,,1.0,72,False,per_turn
Qwen,5,U1,EMP,0.19087188763697113,0.10826071996834558,0.492094181674298,72,False,per_turn
Qwen,5,U2,SEN,0.2562197370759251,0.029821598022187337,0.3727699752773417,72,False,per_turn
Qwen,5,U2,AUR,-0.007850266891583253,0.9478181758562942,1.0,72,False,per_turn
Qwen,5,U2,TD,0.09917106414169304,0.407210296788032,0.8852397756261565,72,False,per_turn
Qwen,5,U2,FIX,-0.19112664970501975,0.10778172949152698,0.492094181674298,72,False,per_turn
Qwen,5,U2,RT,-0.2608131270603684,0.02691202407082353,0.3727699752773417,72,False,per_turn
Qwen,5,U2,TN,0.01918240783682443,0.8729329643393476,1.0,72,False,per_turn
Qwen,5,U2,QOC,-0.11209480750811211,0.34851769758586326,0.829804041871103,72,False,per_turn
Qwen,5,U2,LM,0.005546944650166641,0.9631157895414416,1.0,72,False,per_turn
Qwen,5,U2,ME,,,1.0,72,False,per_turn
Qwen,5,U2,EMP,0.12310787032164688,0.3028935731167595,0.7572339327918989,72,False,per_turn
Qwen,5,U3,SEN,0.6929023281557338,1.540472185210564e-11,7.70236092605282e-10,72,True,per_turn
Qwen,5,U3,AUR,0.049810768287215146,0.6777617570411469,0.9672698716070366,72,False,per_turn
Qwen,5,U3,TD,-0.14996592070840942,0.20862444717969866,0.6018597528551077,72,False,per_turn
Qwen,5,U3,FIX,0.07434858616107602,0.534805247764021,0.9347192134653635,72,False,per_turn
Qwen,5,U3,RT,0.047736821046409424,0.6904839756055926,0.9672698716070366,72,False,per_turn
Qwen,5,U3,TN,0.017146976911522952,0.8863209896151056,1.0,72,False,per_turn
Qwen,5,U3,QOC,-0.19484676170238424,0.10097285176283162,0.492094181674298,72,False,per_turn
Qwen,5,U3,LM,0.07001400420140048,0.558945177279059,0.9347192134653635,72,False,per_turn
Qwen,5,U3,ME,,,1.0,72,False,per_turn
Qwen,5,U3,EMP,0.1467939358514039,0.2185224077951147,0.6018597528551077,72,False,per_turn
Qwen,5,U4,SEN,-0.06286946134619315,0.5998278218585121,0.9372309716539252,72,False,per_turn
Qwen,5,U4,AUR,0.03916905127384168,0.7439182311250228,0.9788397777960827,72,False,per_turn
Qwen,5,U4,TD,-0.08844507482327232,0.46003060895614234,0.9347192134653635,72,False,per_turn
Qwen,5,U4,FIX,0.046771630852010505,0.6964343075570663,0.9672698716070366,72,False,per_turn
Qwen,5,U4,RT,0.1013531079700637,0.39691560473661036,0.8852397756261565,72,False,per_turn
Qwen,5,U4,TN,0.0731969410157382,0.5411684156794621,0.9347192134653635,72,False,per_turn
Qwen,5,U4,QOC,0.2163093661804922,0.06800181487833257,0.492094181674298,72,False,per_turn
Qwen,5,U4,LM,-0.025561718588569857,0.8312200030720484,1.0,72,False,per_turn
Qwen,5,U4,ME,,,1.0,72,False,per_turn
Qwen,5,U4,EMP,-0.010306469073146418,0.9315260485705177,1.0,72,False,per_turn
Qwen,5,U5,SEN,0.21128365107994332,0.07481508013562249,0.492094181674298,72,False,per_turn
Qwen,5,U5,AUR,0.16982604572384974,0.1538150269712613,0.5269510261546801,72,False,per_turn
Qwen,5,U5,TD,0.06741265112475497,0.573676728728441,0.9347192134653635,72,False,per_turn
Qwen,5,U5,FIX,-0.07613605794626212,0.525002657053511,0.9347192134653635,72,False,per_turn
Qwen,5,U5,RT,-0.1586118013181469,0.183270382126531,0.5727199441454094,72,False,per_turn
Qwen,5,U5,TN,0.16810728503899022,0.15808530784640404,0.5269510261546801,72,False,per_turn
Qwen,5,U5,QOC,-0.008873838792517536,0.9410257857512846,1.0,72,False,per_turn
Qwen,5,U5,LM,0.2122833766487874,0.07341800289429379,0.492094181674298,72,False,per_turn
Qwen,5,U5,ME,,,1.0,72,False,per_turn
Qwen,5,U5,EMP,0.14363391648723603,0.22870670608494095,0.6018597528551077,72,False,per_turn
Qwen,6,U1,SEN,0.22252090693279897,0.060280485866563614,0.23184802256370624,72,False,per_turn
Qwen,6,U1,AUR,0.17910069780213922,0.1322410259068137,0.3640528838441541,72,False,per_turn
Qwen,6,U1,TD,-0.18654703674709236,0.11664596875791722,0.3640528838441541,72,False,per_turn
Qwen,6,U1,FIX,0.17636985334839955,0.13834009586077856,0.3640528838441541,72,False,per_turn
Qwen,6,U1,RT,0.17721573070011903,0.13642866724162664,0.3640528838441541,72,False,per_turn
Qwen,6,U1,TN,0.03374037805188218,0.7784296149649129,0.878601575544713,72,False,per_turn
Qwen,6,U1,QOC,-0.16276708795087746,0.17191316607612953,0.40890095825947204,72,False,per_turn
Qwen,6,U1,LM,0.22784898159263656,0.0542383403007287,0.22777742249974062,72,False,per_turn
Qwen,6,U1,ME,0.0443209629449477,0.7116241322701063,0.878601575544713,72,False,per_turn
Qwen,6,U1,EMP,0.24833495087474736,0.03543219214090609,0.22145120088066303,72,False,per_turn
Qwen,6,U2,SEN,0.0013217318610794497,0.9912083003482597,0.9912083003482597,72,False,per_turn
Qwen,6,U2,AUR,0.027365032786591425,0.8195071889025928,0.878601575544713,72,False,per_turn
Qwen,6,U2,TD,-0.027671152297951824,0.8175227247719891,0.878601575544713,72,False,per_turn
Qwen,6,U2,FIX,-0.15981893708028524,0.1799164216341677,0.40890095825947204,72,False,per_turn
Qwen,6,U2,RT,-0.1409302532771545,0.2376789444759286,0.4570748932229396,72,False,per_turn
Qwen,6,U2,TN,0.026565266852791234,0.8246970971029247,0.878601575544713,72,False,per_turn
Qwen,6,U2,QOC,0.04659144498378246,0.6975471817513255,0.878601575544713,72,False,per_turn
Qwen,6,U2,LM,0.14970775619826193,0.20941794127880017,0.4188358825576003,72,False,per_turn
Qwen,6,U2,ME,-0.15295295001287634,0.19959821931081548,0.4188358825576003,72,False,per_turn
Qwen,6,U2,EMP,0.07601428015151336,0.5256676249000067,0.7647644591426987,72,False,per_turn
Qwen,6,U3,SEN,0.6363636363636364,1.882876219384528e-09,9.414381096922641e-08,72,True,per_turn
Qwen,6,U3,AUR,0.266717186069728,0.02352761034007576,0.19606341950063133,72,False,per_turn
Qwen,6,U3,TD,-0.12096798778963709,0.3114395150552668,0.5561419911701193,72,False,per_turn
Qwen,6,U3,FIX,0.2274558387429609,0.05466658139993775,0.22777742249974062,72,False,per_turn
Qwen,6,U3,RT,0.16336503208767345,0.17032224664582185,0.40890095825947204,72,False,per_turn
Qwen,6,U3,TN,0.12276887544405413,0.3042371308850456,0.5561419911701193,72,False,per_turn
Qwen,6,U3,QOC,0.08665511342170876,0.4691962329338525,0.7109033832331099,72,False,per_turn
Qwen,6,U3,LM,0.18729169190336278,0.11516768229549494,0.3640528838441541,72,False,per_turn
Qwen,6,U3,ME,-0.03578281334822566,0.765391101286603,0.878601575544713,72,False,per_turn
Qwen,6,U3,EMP,0.3979275372789056,0.0005370477710027789,0.013426194275069473,72,True,per_turn
Qwen,6,U4,SEN,0.2548235957188128,0.03075672391187611,0.21969088508482934,72,False,per_turn
Qwen,6,U4,AUR,-0.10704618602100947,0.3707895134925634,0.6179825224876058,72,False,per_turn
Qwen,6,U4,TD,-0.06781609475393449,0.5713802618053089,0.7935836969518179,72,False,per_turn
Qwen,6,U4,FIX,0.026382300482189674,0.8258854810120302,0.878601575544713,72,False,per_turn
Qwen,6,U4,RT,0.03259783115217065,0.7857503767056422,0.878601575544713,72,False,per_turn
Qwen,6,U4,TN,-0.017572517571732678,0.8835192462071499,0.9015502512317857,72,False,per_turn
Qwen,6,U4,QOC,-0.08968594836367576,0.4537346221926204,0.7109033832331099,72,False,per_turn
Qwen,6,U4,LM,-0.1517488667177011,0.20320254919761555,0.4188358825576003,72,False,per_turn
Qwen,6,U4,ME,-0.020060271357125986,0.8671695718576893,0.9015502512317857,72,False,per_turn
