model,dataset,u,r,rho,p,q,n,sig,scope
Llama,HOPE,U5,AUR,0.015435081829463515,0.7707068029503348,0.8377247858155813,359,False,per_dataset
Llama,HOPE,U5,TD,0.022619411284215782,0.6692797883337053,0.7436442092596726,359,False,per_dataset
Llama,HOPE,U5,FIX,0.22036681383861487,2.523436302235571e-05,0.00010514317925981545,359,True,per_dataset
Llama,HOPE,U5,RT,0.2657445557430202,3.225909250050576e-07,2.3042208928932685e-06,359,True,per_dataset
Llama,HOPE,U5,TN,0.0015670688440425525,0.9763954882976646,0.9763954882976646,359,False,per_dataset
Llama,HOPE,U5,QOC,-0.04918368682534545,0.3527800928842252,0.4522821703643912,359,False,per_dataset
Llama,HOPE,U5,LM,-0.06772234685728538,0.2004922377781965,0.30377611784575226,359,False,per_dataset
Llama,HOPE,U5,ME,-0.09478618717123234,0.07285803256913097,0.14247440671857864,359,False,per_dataset
Llama,HOPE,U5,EMP,0.05936703779875631,0.2618999879478192,0.36374998326086,359,False,per_dataset
Llama,CareBench,U1,SEN,0.22011543513461404,2.5126141576691176e-05,0.0006281535394172794,360,True,per_dataset
Llama,CareBench,U1,AUR,0.2994870599294478,6.784305571147858e-09,3.392152785573929e-07,360,True,per_dataset
Llama,CareBench,U1,TD,-0.19757805264312675,0.00016129552398741584,0.0016129552398741584,360,False,per_dataset
Llama,CareBench,U1,FIX,0.09804435167398012,0.06313060110426659,0.16613316080070156,360,False,per_dataset
Llama,CareBench,U1,RT,0.10875648497435292,0.03916452895035931,0.13054842983453102,360,False,per_dataset
Llama,CareBench,U1,TN,0.13041772530916287,0.013268422428962702,0.060311011040739555,360,False,per_dataset
Llama,CareBench,U1,QOC,0.08546658596865642,0.1054605519749094,0.23968307267024863,360,False,per_dataset
Llama,CareBench,U1,LM,0.20480566100716494,9.079227224568871e-05,0.0011349034030711089,360,True,per_dataset
Llama,CareBench,U1,ME,-0.050688463446463834,0.33754975766429673,0.4688191078670788,360,False,per_dataset
Llama,CareBench,U1,EMP,0.2081500955237279,6.91168840006247e-05,0.0011349034030711089,360,True,per_dataset
Llama,CareBench,U2,SEN,0.09447249271764198,0.07341187381148356,0.17479017574162753,360,False,per_dataset
Llama,CareBench,U2,AUR,0.07517257740262848,0.15463367078427087,0.2761315549719123,360,False,per_dataset
Llama,CareBench,U2,TD,0.03912718841100146,0.45924672482237816,0.6042720063452345,360,False,per_dataset
Llama,CareBench,U2,FIX,0.017905613789169352,0.7349255813497801,0.7818357248401916,360,False,per_dataset
Llama,CareBench,U2,RT,0.11636456044176144,0.027265979052909346,0.11360824605378894,360,False,per_dataset
Llama,CareBench,U2,TN,-0.028127377572785307,0.5947753773670272,0.7126151849921902,360,False,per_dataset
Llama,CareBench,U2,QOC,0.1577588356068348,0.0026850165834215608,0.019178689881582577,360,False,per_dataset
Llama,CareBench,U2,LM,0.05995592412863306,0.2565226656195431,0.4120204583181009,360,False,per_dataset
