model,u,r,rho,p,q,n,sig,scope
Llama,U2,TN,0.010934536345300911,0.7697520964035451,0.8018251004203595,719,False,pooled
Llama,U2,QOC,-0.017375961717674714,0.641826523050943,0.7432910175900682,719,False,pooled
Llama,U2,LM,0.07005146126737337,0.060461821040285454,0.10424451903497492,719,False,pooled
Llama,U2,ME,-0.07597299925924152,0.04169487258375877,0.07445512961385495,719,False,pooled
Llama,U2,EMP,0.04381196435690723,0.2406750867388406,0.3166777457090008,719,False,pooled
Llama,U3,SEN,0.6768119531458823,1.8205989431773754e-97,9.102994715886877e-96,719,True,pooled
Llama,U3,AUR,0.1035559326274172,0.005445750964831249,0.013614377412078122,719,False,pooled
Llama,U3,TD,-0.10178106486704658,0.006304227846185704,0.015010066300442151,719,False,pooled
Llama,U3,FIX,0.12441884778063715,0.0008276344805983743,0.0025863577518699197,719,False,pooled
Llama,U3,RT,0.14328368884710754,0.00011560736969918794,0.0005254880440872179,719,False,pooled
Llama,U3,TN,0.12244762587541187,0.0010018478145408759,0.0027829105959468773,719,False,pooled
Llama,U3,QOC,-0.08466374471666026,0.02318842028804841,0.04637684057609682,719,False,pooled
Llama,U3,LM,0.015388995253898098,0.6803763310976851,0.7432910175900682,719,False,pooled
Llama,U3,ME,-0.017618524223148555,0.6371831825772378,0.7432910175900682,719,False,pooled
Llama,U3,EMP,0.015255134632776243,0.683005066001013,0.7432910175900682,719,False,pooled
Llama,U4,SEN,-0.02835097928447173,0.4478298206435847,0.5597872758044808,719,False,pooled
Llama,U4,AUR,-0.015213282776647028,0.6838277361828629,0.7432910175900682,719,False,pooled
Llama,U4,TD,0.17135485590306776,3.819600067856559e-06,2.1220000376980883e-05,719,False,pooled
Llama,U4,FIX,0.12750106646530543,0.0006105520677049743,0.002180543098946337,719,False,pooled
Llama,U4,RT,0.11370184756574597,0.00226246056713166,0.005953843597714895,719,False,pooled
Llama,U4,TN,-0.08709220307148073,0.019507832455273065,0.04064131761515222,719,False,pooled
Llama,U4,QOC,0.06436672714189032,0.08457677248764017,0.1364141491736132,719,False,pooled
Llama,U4,LM,-0.06231979273755071,0.09496495178020667,0.1483827371565729,719,False,pooled
Llama,U4,ME,-0.012818893178563369,0.7314900635193424,0.7781809186375984,719,False,pooled
Llama,U4,EMP,-0.0910473879654972,0.014598584786202424,0.031736053883048745,719,False,pooled
Llama,U5,SEN,0.21607480682268634,4.825903923381825e-09,6.032379904227281e-08,719,True,pooled
Llama,U5,AUR,0.07814450056509062,0.036176428052114726,0.06957005394637447,719,False,pooled
Llama,U5,TD,0.047560665503414645,0.20273359359529924,0.2815744355490267,719,False,pooled
Llama,U5,FIX,0.1963518722528192,1.1107580367619017e-07,7.933985976870726e-07,719,False,pooled
Llama,U5,RT,0.21107094347195862,1.1012699677603143e-08,1.1012699677603143e-07,719,True,pooled
