model,U,R,n,rho,p,q,sig
Llama,U3,QOC,100,-0.06033143611873051,0.5509930338155999,0.7513541370212726,False
Llama,U3,LM,100,-0.033078957080403364,0.7438795523356951,0.8368644963776571,False
Llama,U3,ME,100,,,,
Llama,U3,EMP,100,0.20104276574198535,0.044890452005671405,0.15539002617347794,False
Llama,U4,SEN,100,0.20392509677383266,0.041845830913230374,0.15539002617347794,False
Llama,U4,AUR,100,0.07027283689263066,0.4872101569875389,0.7072405504657823,False
Llama,U4,TD,100,0.08227758264010872,0.4157523278080364,0.6681733839772014,False
Llama,U4,FIX,100,0.1664725618396968,0.09784977664639125,0.2446244416159781,False
Llama,U4,RT,72,0.1138469000458504,0.3409870602723929,0.6333108945961757,False
Llama,U4,TN,100,-0.04293173838642976,0.671481629519646,0.7951756139048439,False
Llama,U4,QOC,100,0.18923496800690442,0.05934438869100906,0.17803316607302716,False
Llama,U4,LM,100,0.11629150952219958,0.2492353839723016,0.5340758227977892,False
Llama,U4,ME,100,,,,
Llama,U4,EMP,100,-0.03732465822736635,0.7123644237645193,0.8219589504975223,False
Llama,U5,SEN,100,0.21137549582474263,0.034764105151416584,0.15359999158201795,False
Llama,U5,AUR,100,-0.01916848775950984,0.8498637298734979,0.86917881464335,False
Llama,U5,TD,100,0.08873437355672222,0.37998653675770544,0.6333108945961757,False
Llama,U5,FIX,100,0.21614738279969448,0.03078038430911035,0.15359999158201795,False
Llama,U5,RT,72,0.18724930115325378,0.11525144738116984,0.2729639543238233,False
Llama,U5,TN,100,0.04791920289434909,0.6358996363524003,0.7796163774119259,False
Llama,U5,QOC,100,0.012145428081571234,0.9045372460732474,0.9045372460732474,False
Llama,U5,LM,100,0.3248241646117531,0.0009762150746243709,0.021964839179048345,True
Llama,U5,ME,100,,,,
Llama,U5,EMP,100,0.24744024826801092,0.013064038305037317,0.1002043601461818,False
Qwen,U1,SEN,100,0.2944386114641163,0.002943460680087579,0.026491146120788213,True
Qwen,U1,AUR,100,0.030410402852629016,0.763910075423665,0.78127166804693,False
Qwen,U1,TD,100,-0.15264354043434397,0.12948293630333724,0.35676965053226856,False
Qwen,U1,FIX,100,0.20832781358535737,0.03752867448989991,0.15352639564049964,False
Qwen,U1,RT,92,0.10465556464248914,0.3207949250122232,0.5790371068994572,False
Qwen,U1,TN,100,-0.18500245748723748,0.0653719591715354,0.21012415447993524,False
Qwen,U1,QOC,100,-0.03788170534380813,0.7082638992993615,0.7588541778207445,False
Qwen,U1,LM,100,0.30794430539079726,0.0018280211361857196,0.020565237782089345,True
Qwen,U1,ME,100,,,,
Qwen,U1,EMP,100,0.08143822796338475,0.42054123202177773,0.6526000273741825,False
Qwen,U2,SEN,100,0.25917728939345946,0.00921854174526397,0.05926205407669695,False
Qwen,U2,AUR,100,0.07289073352621213,0.4710924834212534,0.6624738048111376,False
Qwen,U2,TD,100,0.0327207938335425,0.7465584117822428,0.78127166804693,False
Qwen,U2,FIX,100,0.08513111088940306,0.3997105755720779,0.6526000273741825,False
Qwen,U2,RT,92,0.08343154949135388,0.42912742280112415,0.6526000273741825,False
Qwen,U2,TN,100,-0.0004215877676684903,0.9966785173302065,0.9966785173302065,False
Qwen,U2,QOC,100,-0.10010905302358182,0.32168728161080956,0.5790371068994572,False
Qwen,U2,LM,100,0.1912952910584117,0.05657901111395874,0.19585042308678025,False
Qwen,U2,ME,100,,,,
Qwen,U2,EMP,100,0.039439206351925944,0.6968432880086354,0.7588541778207445,False
Qwen,U3,SEN,100,0.6865021160819215,3.1745754623635788e-15,1.4285589580636104e-13,True
Qwen,U3,AUR,100,-0.052135120811726714,0.6064502433438945,0.7375746202831149,False
Qwen,U3,TD,100,-0.061235841774009654,0.5450275489978167,0.6812844362472709,False
Qwen,U3,FIX,100,0.34190223646383405,0.0004984703792088669,0.007477055688133003,True
Qwen,U3,RT,92,0.15709644063340142,0.13477964575663479,0.35676965053226856,False
Qwen,U3,TN,100,0.07385739025595588,0.46521511303058727,0.6624738048111376,False
Qwen,U3,QOC,100,-0.03802367941578109,0.707220127232002,0.7588541778207445,False
Qwen,U3,LM,100,0.18122583974767079,0.0711613287930098,0.2134839863790294,False
Qwen,U3,ME,100,,,,
Qwen,U3,EMP,100,0.36608935134928555,0.00017983881491086858,0.004046373335494543,True
Qwen,U4,SEN,100,0.07024393586862704,0.4873897138872594,0.6646223371189901,False
Qwen,U4,AUR,100,-0.12056070554260304,0.23215998206550756,0.5247135368578577,False
Qwen,U4,TD,100,0.20423915669545264,0.04152474006995084,0.15571777526231564,False
Qwen,U4,FIX,100,-0.04052134320910776,0.688947816055381,0.7588541778207445,False
Qwen,U4,RT,92,-0.09977630867611273,0.34399569917768,0.595377171653677,False
Qwen,U4,TN,100,-0.24851874792380874,0.012660152441308773,0.07121335748236185,False
Qwen,U4,QOC,100,-0.14445392166317592,0.15159784389112815,0.3789946097278204,False
Qwen,U4,LM,100,0.06237449404683603,0.5375621553949126,0.6812844362472709,False
Qwen,U4,ME,100,,,,
Qwen,U4,EMP,100,0.10362377790862885,0.30490346917677214,0.5790371068994572,False
Qwen,U5,SEN,100,0.11751837340128511,0.2442421901747493,0.5247135368578577,False
Qwen,U5,AUR,100,0.07892550842660863,0.43506668491612166,0.6526000273741825,False
Qwen,U5,TD,100,0.1173640797445045,0.24486631720033364,0.5247135368578577,False
Qwen,U5,FIX,100,0.2724718298284086,0.006096295068455479,0.04572221301341609,True
Qwen,U5,RT,92,0.25420610345555383,0.01447584208387243,0.07237921041936216,False
Qwen,U5,TN,100,0.06695214426669624,0.5080692145187029,0.672444548627695,False
Qwen,U5,QOC,100,-0.04111621307172203,0.6846216374590357,0.7588541778207445,False
Qwen,U5,LM,100,0.2254360050806923,0.024125137300927003,0.10856311785417153,False
Qwen,U5,ME,100,,,,
Qwen,U5,EMP,100,0.10599638528205012,0.29390312000172,0.5790371068994572,False
